robot,method,uid,family,site_id,repeats,completion,deadline_completion,total_latency_ns,frame_success,acceleration_rms,successful_prefix
panda,single_gn_k1,4c6f3e4c4938f1d045ad81cc0b00279c7e4deeb0090877a2457fc71d699e5669,smooth,trajectory_015,3,1.0,1.0,40891720.0,1.0,0.6677390187266051,150.0
panda,single_gn_k1,4d8dfd105e6967177e92702e792e3fcfeb8cab41c72b787e436a4b5f2cbf4cef,smooth,trajectory_008,3,1.0,1.0,40815556.0,1.0,0.6221151193802436,150.0
panda,single_gn_k1,4e1843759088f4a5ab2eb9d0488ded425922f491cc72a77a168a168496703da9,joint_limit_return,trajectory_084,3,1.0,1.0,40795572.333333336,1.0,0.6840343115803639,150.0
panda,single_gn_k1,4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da,high_curvature,trajectory_120,3,0.0,0.0,194653930.66666666,0.48666666666666664,16.59363804839451,53.0
panda,single_gn_k1,4f748698c3c2c641dfd36bbbeddb6bf166b308236fd594b727a9a25f58549651,high_curvature,trajectory_158,3,1.0,1.0,41019839.666666664,1.0,5.730569132605048,150.0
panda,single_gn_k1,52bfa11a7beed01ba2979eed87aff5a6d1878b46392075e49e79297e367f7fa5,smooth,trajectory_005,3,1.0,1.0,40579314.666666664,1.0,0.5858091818371894,150.0
panda,single_gn_k1,56e3826cb8c9c1d2669f86c094648f3a15468966904942f865b6138ae1a34089,high_curvature,trajectory_156,3,1.0,1.0,41039865.333333336,1.0,5.313233054238147,150.0
panda,single_gn_k1,5901f315f2447757c1867df962600c1d912c87fe3cb9d65589d6081769488442,high_curvature,trajectory_130,3,1.0,1.0,40868460.333333336,1.0,7.1134586484024185,150.0
panda,single_gn_k1,59fb6a8924934a79c09136da28b7a3ff8bbd61498838a8128a1bd053a2a3f32d,near_singular,trajectory_065,3,1.0,1.0,35410127.0,1.0,12.613762373745521,150.0
panda,single_gn_k1,5bdcc2d8aebc7b7d2e138df541304b09eb972c06a781fbf126b84888026ce734,smooth,trajectory_026,3,1.0,1.0,40644197.333333336,1.0,0.7371915994747745,150.0
panda,single_gn_k1,5c3485c9a41783628ed9200eabb9c7aa756b2d1838f092b31a88491623ae52e2,high_curvature,trajectory_124,3,1.0,1.0,40835610.0,1.0,6.669339696744058,150.0
panda,single_gn_k1,5dac1d49889fe9e09b4c32f417b1bf4ee86389af5d20fc3823371a7ee2bba187,joint_limit_return,trajectory_103,3,1.0,1.0,40646206.666666664,1.0,0.5373561697219515,150.0
panda,single_gn_k1,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,near_singular,trajectory_042,3,0.0,0.0,225012920.66666666,0.64,6.412922131187618,96.0
panda,single_gn_k1,6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100,joint_limit_return,trajectory_092,3,0.0,0.0,270685440.3333333,0.52,2.191446530132496,78.0
panda,single_gn_k1,6586e2c2aa7b28f704b4e4da538ca71d7f5b6ecb11bdc8906e682eca50fbbad1,joint_limit_return,trajectory_107,3,1.0,1.0,40834752.0,1.0,0.5162566481426515,150.0
panda,single_gn_k1,68eda3224034b5683d377b5d7cddd0db39a9c6a0fc30def562c3282bdf4cfda6,smooth,trajectory_023,3,1.0,1.0,41052978.333333336,1.0,0.7592880634118438,150.0
panda,single_gn_k1,6a1c3a555eddf23620d15ee7cb9500f45bbd54b6f5f7d61f9643b9d310581150,joint_limit_return,trajectory_102,3,1.0,1.0,40807886.0,1.0,0.7166421403418655,150.0
panda,single_gn_k1,6b0966e51c74ee179bda979ce90c28e13df86983752592ccef75cfedcedb1271,high_curvature,trajectory_147,3,1.0,1.0,40967382.0,1.0,6.054721815830557,150.0
panda,single_gn_k1,6b2979d02b4c234eab22bfc97da014daf8f5b7c94a6d47eaee20dd8705a29e94,smooth,trajectory_036,3,1.0,1.0,40745874.666666664,1.0,0.7788312615985244,150.0
panda,single_gn_k1,6f45a8b6059397bd23d369002df06b9d4a367c8e87cafa78af25eef62d2ba906,smooth,trajectory_020,3,1.0,1.0,40825525.0,1.0,0.5861821906018294,150.0
panda,single_gn_k1,700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062,high_curvature,trajectory_144,3,0.0,0.0,366253827.6666667,0.32,8.679434529388704,48.0
panda,single_gn_k1,710b8798d1f34818e642157f92c158183934342acbc1f8f054abdb7080c71569,high_curvature,trajectory_143,3,1.0,1.0,40822633.666666664,1.0,7.593373166992854,150.0
panda,single_gn_k1,75d52c890b861cdb7f9862279ecbe3d5318b78f4d93cd28cc30414ef5493341c,smooth,trajectory_035,3,1.0,1.0,40882749.0,1.0,0.6084686346838734,150.0
panda,single_gn_k1,76014196d575d651386f649f98c4d3dd7f03787edbfd42b80122072d25c83bba,near_singular,trajectory_066,3,1.0,1.0,39688678.0,1.0,1.0797521896731892,150.0
panda,single_gn_k1,76723c8484a05a7bc2bff4047708ad396e6759dff58cd347e4b36eeb1bdedfd0,joint_limit_return,trajectory_111,3,1.0,1.0,40949003.666666664,1.0,6.517108366017389,150.0
panda,single_gn_k1,79076cd9aa84b436fcbb836548e693b733aa35a2d7be5ccd28163e80bd3fcb82,near_singular,trajectory_046,3,1.0,1.0,39089080.0,1.0,39.37643549268107,150.0
panda,single_gn_k1,79a9d8a888407eb550cf8684661f49bc7ef7579e670e95b79b09ae9c996b9b0d,smooth,trajectory_019,3,1.0,1.0,40752927.0,1.0,0.8165300747122867,150.0
panda,single_gn_k1,79b541a168d9d17d398c8098d305be992824956b558db5da00571e9427e38c44,near_singular,trajectory_077,3,1.0,1.0,39172031.666666664,1.0,2.5279660591915243,150.0
panda,single_gn_k1,7a4b0e446427145d85dd1b448c80c4b2902f9595f8588456fecd4093f299a8df,joint_limit_return,trajectory_117,3,1.0,1.0,41079825.333333336,1.0,0.7710792569214272,150.0
panda,single_gn_k1,7c4f7297f4e3c51c94bbff33f1f6fea524a7aeb44e815849ac855cd47cb12778,near_singular,trajectory_047,3,1.0,1.0,39771563.333333336,1.0,2.0883585826968383,150.0
panda,single_gn_k1,8159f4b8a9c566ba4d2d648b7a0ce5497eff71c08df175337922b21578479645,high_curvature,trajectory_157,3,1.0,1.0,40625357.333333336,1.0,5.785933588689882,150.0
panda,single_gn_k1,84f83b0ba1930b447be1abf5134e2558f2120f5657126a3a00b788b94429902d,high_curvature,trajectory_141,3,1.0,1.0,40723134.0,1.0,6.246013138555953,150.0
panda,single_gn_k1,883e06904863f75da01f0a8b29601d8d6c4e5e3d4391b559c9a576779b153be2,near_singular,trajectory_063,3,1.0,1.0,39393269.666666664,1.0,2.1945878577678446,150.0
panda,single_gn_k1,891914e1ae3556ab6b0945f9863bdec1840dd5a264e93c627a51b7581f16dfe8,high_curvature,trajectory_134,3,1.0,1.0,40978790.0,1.0,7.4904330468174125,150.0
panda,single_gn_k1,8bebd193c402f03b5f2bdcd9ccfa7c6ea00cd4821f9b4165aa9533694979e773,joint_limit_return,trajectory_106,3,1.0,1.0,40880696.666666664,1.0,0.6869041640080958,150.0
panda,single_gn_k1,8eb0376749a7bcb5bb763b8809e852eb2830de76762dcdd0f2ef9dcf64a3ccec,high_curvature,trajectory_152,3,1.0,1.0,40814295.0,1.0,8.026796475251373,150.0
panda,single_gn_k1,91dba0fb58c14a6382c14e9d6f796faac1dae38265d099f7bf09cdb6e2f2f8cc,smooth,trajectory_018,3,1.0,1.0,41021985.333333336,1.0,0.898360849364872,150.0
panda,single_gn_k1,9289844cd619fe3c022d910841ace12e165e07777f181c72cc2a1aec1da2e3fb,high_curvature,trajectory_131,3,1.0,1.0,41132706.0,1.0,8.421337275281026,150.0
panda,single_gn_k1,92b622165930ed028b13c8c2a3d6133c389f1a260daf0561cfcff77a8d9f844b,near_singular,trajectory_044,3,1.0,1.0,39256088.0,1.0,1.8233828327371502,150.0
panda,single_gn_k1,9408a6fe715e7be47720924bb6ceeff40609fd34a88003747eb1e71abe1a9a2f,high_curvature,trajectory_137,3,1.0,1.0,41196799.0,1.0,10.07125586919222,150.0
panda,single_gn_k1,941208ad496f124a01969cbcd5952f3d62d67fd41b608983f17a9968782c4827,high_curvature,trajectory_149,3,1.0,1.0,40700093.333333336,1.0,7.298206937345803,150.0
panda,single_gn_k1,95f75106b91876cd6f738407fc0ef5a94df2060332a02c67ac9ea3733c714ed4,smooth,trajectory_000,3,1.0,1.0,40729376.333333336,1.0,0.6904466722888505,150.0
panda,single_gn_k1,969ba5d44c0c1d23ec4d7872e24f6fb53691d315f926ddf3bba5bf77a876acba,near_singular,trajectory_071,3,1.0,1.0,40244746.666666664,1.0,1.4384673289898842,150.0
panda,single_gn_k1,98a64163a7bd63a545af06f06534fbce4eb6002995e513221ad2614b1706b9ad,smooth,trajectory_002,3,1.0,1.0,41154755.666666664,1.0,0.48812504659559014,150.0
panda,single_gn_k1,98a8aab5c8e29361ccafa7a573c6c335bc3b5a38f2b5ffb7af6a8d682c72f8b5,joint_limit_return,trajectory_119,3,1.0,1.0,40667695.333333336,1.0,0.5522020137389038,150.0
panda,single_gn_k1,98aff3582a84a6146748002550a34794014c19c6a94d633ebdfdfefa61217699,joint_limit_return,trajectory_096,3,1.0,1.0,40845202.666666664,1.0,1.6325699721594333,150.0
panda,single_gn_k1,9e7027908956f6feea8630c453988b56b38fb5654bc6494312db6fec4fe6e93e,near_singular,trajectory_048,3,1.0,1.0,40037072.333333336,1.0,3.537075317187739,150.0
panda,single_gn_k1,a05d83f7ddfc14a4cdfa84454006e4d9e5ee9dcf7c2bedac15fd258bf8c34136,joint_limit_return,trajectory_081,3,1.0,1.0,40851085.333333336,1.0,0.7715988859962796,150.0
panda,single_gn_k1,a1b85e534d2e0cdb72790b6734610df5aa37117f3174bde1e7216baec8456552,smooth,trajectory_004,3,1.0,1.0,40839925.333333336,1.0,1.0658142093421987,150.0
panda,single_gn_k1,a32f076fd84a50b0746febbd023dfac09cce4d08b2e19b8eee9393caa4f35a24,near_singular,trajectory_061,3,1.0,1.0,39396712.666666664,1.0,21.36843165278147,150.0
panda,single_gn_k1,a41fa9fd32eb51775be76cb69ed2f1a90c7db2fa4635519af5f36aa1f9882715,joint_limit_return,trajectory_099,3,1.0,1.0,40690421.333333336,1.0,0.6423605526609312,150.0
panda,single_gn_k1,a4757ca54027f468f26f705c836838ae45f57658e775c4c60a7395323f3fb346,near_singular,trajectory_076,3,1.0,1.0,38774915.666666664,1.0,7.366169307436549,150.0
panda,single_gn_k1,a614e3a4c0b7636e17bf50037f1bf43f2ef3b76be9053ce9be5e9d2970b350aa,smooth,trajectory_001,3,1.0,0.6666666666666666,59549142.666666664,1.0,0.8775947471382026,150.0
panda,single_gn_k1,a9445fc6e5fb718c951f64a65114eec0d3b485d66e12c4a1e5e95a92991dc00b,joint_limit_return,trajectory_108,3,1.0,1.0,40552646.333333336,1.0,0.6648672360793835,150.0
panda,single_gn_k1,a9dad4d05a0465b0a7d0f6adc718d5b33d1adc460d8d23ca364b0b32c99a5f43,high_curvature,trajectory_150,3,1.0,1.0,40781358.666666664,1.0,4.785956724363086,150.0
panda,single_gn_k1,aa8b9f192ff1868146667d1b686b24bea6114cf01c1f8c722b16e84737da2ba0,joint_limit_return,trajectory_083,3,1.0,1.0,40667112.666666664,1.0,0.5680538256097541,150.0
panda,single_gn_k1,abac8acf60716cc94ba74123dcb5312d1eb7a1b46c62a947ef2b73f2b84e5374,joint_limit_return,trajectory_093,3,1.0,1.0,40843385.333333336,1.0,0.7659766419114621,150.0
panda,single_gn_k1,ada02d8a4041f5f9598faabf38e8bb5f2ac9e20ffdbab433149955384b914051,smooth,trajectory_016,3,1.0,1.0,40771457.666666664,1.0,0.7750614513981507,150.0
panda,single_gn_k1,ae7db0483b9fa61d315d70e1d36b61f099764053013d7cd8b34f1591e5ef70bf,high_curvature,trajectory_148,3,1.0,1.0,40796791.0,1.0,7.272810733149627,150.0
panda,single_gn_k1,b2e4231b22fe2f97c2c16de3eabbd347cfea7ab68444a1afccbe3ac3079b4f48,near_singular,trajectory_060,3,1.0,1.0,39337010.333333336,1.0,1.542180693656122,150.0
panda,single_gn_k1,b304104f37dfe87f52e47e4645deb21c8bb6b164549bb941929ab27ce08b714d,joint_limit_return,trajectory_085,3,1.0,1.0,40734369.333333336,1.0,0.74024563599569,150.0
panda,single_gn_k1,b5d8e2eba24b1d515276c8684f15f9ab4e84e24bd2259b6c109d0288a3b2ed9e,high_curvature,trajectory_123,3,1.0,1.0,40816353.666666664,1.0,6.000740462521551,150.0
panda,single_gn_k1,b63ecbeba848a1d720ff4202885635161c6c2f8a7a27eff5b02409f1b4279172,near_singular,trajectory_079,3,1.0,1.0,39410342.333333336,1.0,2.919917640570766,150.0
panda,single_gn_k1,b69f62508019f8a84299bad37e9c92ab1b80bd4b127e8c5b60c969c257ff7cc6,near_singular,trajectory_073,3,1.0,1.0,39297337.666666664,1.0,4.09482354329281,150.0
panda,single_gn_k1,b6b9be5e9dbb7e471bc7de18813d720f027151c79c5e2f6bc24083939afd3715,smooth,trajectory_033,3,1.0,1.0,40870308.666666664,1.0,0.5799262433550121,150.0
panda,single_gn_k1,b6cbd705da27715926d1834f38ee3634efd21ed62a05fe9f858bb938aa8ad66d,high_curvature,trajectory_142,3,1.0,1.0,40820170.333333336,1.0,5.8291549061602455,150.0
panda,single_gn_k1,b789a3a68dd93679c394a021695368cd0e7f05fa2f0999fda29ea8cbc55bb1b5,joint_limit_return,trajectory_101,3,1.0,1.0,40937162.333333336,1.0,0.558905965030453,150.0
panda,single_gn_k1,b7d9f59b33a2dda6c19ff77ca7e30b88fa3fe1ea9f416b1340aa4cb29a2d7580,near_singular,trajectory_064,3,1.0,1.0,37263748.666666664,1.0,10.67777865829458,150.0
panda,single_gn_k1,bb90da78357615fc1a654b326ac620375a16ab26042ef42f52b32bafb2663527,near_singular,trajectory_062,3,1.0,1.0,39089128.0,1.0,1.4613416284016563,150.0
panda,single_gn_k1,bd42c775f0f4134d408d51af225b1d03a8899405721c946646244bcbac33f42f,high_curvature,trajectory_138,3,1.0,1.0,40851015.666666664,1.0,6.839611956073423,150.0
panda,single_gn_k1,bdcd3ffd414ccd41a775496dcc9690aff30070fdb1d6d42ba00798b9b3fce457,near_singular,trajectory_070,3,1.0,1.0,39048574.333333336,1.0,2.0815263964593216,150.0
panda,single_gn_k1,bf6096f502134513e2313f50fbc04736f435a97794c75f88da9741bbf3b306f0,near_singular,trajectory_051,3,1.0,1.0,39733389.0,1.0,2.960694530548548,150.0
panda,single_gn_k1,c068c4a69ab7818dfd663ebe0bd5f26cb404ea2a0142fa63589d2368c63c96c2,smooth,trajectory_022,3,1.0,1.0,40787347.0,1.0,2.1496481111760533,150.0
panda,single_gn_k1,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,joint_limit_return,trajectory_094,3,1.0,1.0,41388618.333333336,1.0,5.159849811102621,150.0
panda,single_gn_k1,c413c8e51512e31288411e26b66641b2d288db860038d5c93c92eaed0e5a4262,near_singular,trajectory_067,3,1.0,1.0,39452009.0,1.0,1.3470806654750618,150.0
panda,single_gn_k1,c6cfd91b767095758b663e0ee9d436d5e7a392ae0b0f544dc5c1085014080e48,high_curvature,trajectory_125,3,1.0,1.0,40967844.666666664,1.0,7.99741296595696,150.0
panda,single_gn_k1,ca9cd0ec53e341e94f32ed243e8aa7157ceaccebe06c876d98959a6523575b0c,near_singular,trajectory_054,3,1.0,1.0,39932865.666666664,1.0,1.9102298442377676,150.0
panda,single_gn_k1,ce2ecca87ee582df7b70a4be4252ec5077978137e18a0facb8f7569fae9cde3b,smooth,trajectory_031,3,1.0,1.0,40446255.0,1.0,1.2986331634706747,150.0
panda,single_gn_k1,ceef73a7c61264683fe087a71b97581b2fa0b224028ef16c560b7751811a39bf,high_curvature,trajectory_133,3,1.0,1.0,40808181.333333336,1.0,6.059734575963458,150.0
panda,single_gn_k1,cf1ac8c4297fcd0132ef27f0d2fb9f45010d63c137bcd423126e4d2759aec7e2,smooth,trajectory_024,3,1.0,1.0,41031626.333333336,1.0,0.7182362924949429,150.0
panda,single_gn_k1,d18f14b16c53cbd1c1811adc5279f00e6745676ca71c477595565e5b21ad5248,near_singular,trajectory_072,3,1.0,1.0,39760674.666666664,1.0,1.6691384429083882,150.0
panda,single_gn_k1,d1b6f99f9dd68c456e81713c3f5adafb553bd17ccdb5e0cb02ef57464d7180fc,near_singular,trajectory_059,3,1.0,1.0,39261556.666666664,1.0,1.875284127169728,150.0
panda,single_gn_k1,d417c16e467b1bde55181c0022bd7193f19faed3ca6ba4f83228bdb2488af8d5,joint_limit_return,trajectory_112,3,1.0,1.0,40452054.333333336,1.0,3.235836413849995,150.0
panda,single_gn_k1,d4ff5150093d260a061aa45d09215d38d3f65c8fc3ba45841188479b3784eac3,high_curvature,trajectory_155,3,1.0,1.0,41317668.333333336,1.0,5.644955413281192,150.0
panda,single_gn_k1,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,near_singular,trajectory_074,3,0.0,0.0,182558251.66666666,0.6466666666666666,7.8137303547831936,97.0
