robot,uid,method,repeat,family,frame,previous_q,target_position,target_rotation,q,position_error,orientation_error,failure_kind,total_latency_ns
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trac_task_20ms,0,near_singular,119,"[2.8899529305557334,0.19655983024032023,1.6684115930906993,-0.670958274516877,0.853622263154495,0.34701334418631113,0.08225337576971722]","[-0.06234755816855856,-0.2584147739463928,0.9085985723227469]","[[0.5505424179895927,-0.6860724429890204,0.47561291925814],[-0.8345978352700153,-0.4395820439607435,0.3319850598895969],[-0.01869490189268268,-0.5797173704473346,-0.8146031371440027]]","[2.8899529305557334,0.19655983024032023,1.6684115930906993,-0.670958274516877,0.853622263154495,0.34701334418631113,0.08225337576971722]",0.0018758060876812221,0.008606775170503138,internal_nonconvergence+position_tolerance,20300420
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trac_task_5ms,2,near_singular,99,"[0.8242821087563753,-0.1561679845343347,1.374663933354482,-0.2284173374435376,1.3987408693720045,2.847549829986166,1.886697436646594]","[-0.11412515100682759,0.018190245096763476,1.1682525736584712]","[[-0.6194919440349873,-0.6123489129678776,-0.49118076108782055],[0.7267188609516686,-0.6839586446536554,-0.06387698756707258],[-0.29683232373321716,-0.39652160242613915,0.8687123749530365]]","[0.8242821087563753,-0.1561679845343347,1.374663933354482,-0.2284173374435376,1.3987408693720045,2.847549829986166,1.886697436646594]",0.006207886925208434,0.015932611754555098,internal_nonconvergence+position_tolerance+orientation_tolerance,5242663
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,tar_nominal,2,near_singular,118,"[2.872457470845033,0.18105902418770767,1.6502441852022551,-0.6674920237878883,0.8811172661378902,0.3386783812859187,0.0730645856836404]","[-0.06191101117000993,-0.2569398691732451,0.9094463974840075]","[[0.5485944334063589,-0.6883113438429131,0.4746278980135061],[-0.8359417731707867,-0.44091363393388183,0.32679736730778625],[-0.01566842377641365,-0.5760405032186382,-0.8172709704547085]]",,,,non_finite_or_wrong_shape,6144226
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trac_task_20ms,0,joint_limit_return,73,"[-1.1429938810550933,0.5302298946316499,0.18326512594078373,-0.9705400800386776,2.8972999132128745,2.7783448660253507,0.5410481397830927]","[0.36718022786213744,-0.6456649115598345,0.6383994232620955]","[[0.5241274377818539,0.6731086477366566,0.5217424434587996],[-0.11649758149778397,0.6635404311226599,-0.7390144854945144],[-0.8436342468566553,0.3265560359382205,0.4261952755755508]]","[-1.1429938810550933,0.5302298946316499,0.18326512594078373,-0.9705400800386776,2.8972999132128745,2.7783448660253507,0.5410481397830927]",0.012755522025085493,0.026485291702420508,internal_nonconvergence+position_tolerance+orientation_tolerance,20278760
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,tar_nominal,0,joint_limit_return,71,"[-1.1467600075935112,0.531065808600437,0.2435423607362442,-0.9534754261459779,2.891486656447401,2.8053245395958784,0.5173203794588674]","[0.38693943824308696,-0.6300532542719856,0.6459277823269656]","[[0.5306617129559349,0.6476029799554461,0.5468167213568902],[-0.09173420140043374,0.685240687155057,-0.7225164613769637],[-0.8426048793450567,0.33325002778708235,0.42303833902355853]]",,,,non_finite_or_wrong_shape,6193086
panda,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,tar_free,0,near_singular,116,"[-0.9931541640075434,0.63218488380393,-0.87972915162602,-0.7015315101088011,1.1034822567792113,3.4914986116300994,-1.9200957913999859]","[0.04976562037953118,-0.5839767786533503,0.8852328525026446]","[[0.960586057210699,-0.21820004098606993,-0.17222998811496512],[0.007762088386530762,0.6403830879809382,-0.7680164390245027],[0.2778743901051033,0.7364090186449888,0.6168367535921003]]",,,,non_finite_or_wrong_shape,7220302
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trac_task_5ms,1,joint_limit_return,72,"[-1.1381095136692312,0.5275370973194509,0.20223143376713396,-0.9664675577421528,2.8952383962687813,2.7885897661912638,0.5349013950648823]","[0.37719423030748733,-0.6378831642217682,0.6422111927532251]","[[0.5275670504201451,0.6604035474662989,0.534359580998522],[-0.10416908689423132,0.6745619459455053,-0.7308317059472961],[-0.8431024900014291,0.3298989778343376,0.424670290669419]]","[-1.1381095136692312,0.5275370973194509,0.20223143376713396,-0.9664675577421528,2.8952383962687813,2.7885897661912638,0.5349013950648823]",0.012460114408500908,0.024718761193857193,internal_nonconvergence+position_tolerance+orientation_tolerance,5213846
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,tar_fixed,1,near_singular,91,"[0.8345029072778023,-0.14130554744485976,1.1113975087460448,-0.26919494849963754,1.666038506854654,2.8377426800946335,1.8999559778005068]","[-0.0876088670778926,0.05987856614116665,1.1700859576871954]","[[-0.645105860289506,-0.613757973873873,-0.45512589305199364],[0.6905720154310897,-0.7232552186426011,-0.003490015714314948],[-0.3270301523156229,-0.31654863482959683,0.8904202610362925]]",,,,non_finite_or_wrong_shape,7274590
panda,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,tar_free,1,near_singular,89,"[0.6050563422131969,-0.24696143219360783,0.6357124898649253,-0.47185840741266316,0.45630160174025425,2.0237387959312,1.926304562062532]","[-0.09314321448405684,0.16591634588112708,1.14578680719234]","[[0.9313837355429457,-0.350135604580247,-0.0996463525237773],[0.1467957337636132,0.11074564687111972,0.9829478186800658],[-0.3331296289957865,-0.9301292706416253,0.15454510726906712]]",,,,non_finite_or_wrong_shape,7093196
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,tar_free,1,near_singular,113,"[-2.106968891112756,0.05799214777019829,2.4066460777531598,-0.5607333539072299,-2.8951588589058797,2.070578286181803,-1.7459398763594776]","[0.2101951828709031,0.021021791875536586,1.1614518861885486]","[[0.34178788900162776,0.8454662657569564,-0.4103264948779187],[-0.9067247437488449,0.1818961380037802,-0.3804786906686123],[-0.24704509306076639,0.5020961944152706,0.8287750801926298]]",,,,non_finite_or_wrong_shape,7064955
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,tar_nominal,2,near_singular,100,"[0.7675175929190159,-0.1937052832845984,1.1689725912242883,-0.2259586682367382,1.6637472194460756,2.8175225963006514,1.8780508600148809]","[-0.1172958281922223,0.013336643432181897,1.1678153252287564]","[[-0.6165582280251322,-0.6119093541751842,-0.49540174982272517],[0.7307576616494356,-0.6789504525921797,-0.07084859113294417],[-0.2930003266127155,-0.40570090608449855,0.8657699367655699]]",,,,non_finite_or_wrong_shape,6127370
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,tar_fixed,1,near_singular,103,"[2.5746144540028086,0.09442211391423551,1.716007619266674,-0.5933296146652691,0.9909800568561287,0.30029249665473173,-0.0382786239318308]","[-0.05629312155298431,-0.22965194111559598,0.9239757163836978]","[[0.5136994215206608,-0.7265164816355448,0.4563843843091563],[-0.8568365463972681,-0.46175451678451757,0.2293771980539884],[0.04409123594707085,-0.5088777536314649,-0.8597089011820536]]",,,,non_finite_or_wrong_shape,7354033
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trac_task_20ms,1,joint_limit_return,73,"[-1.1667393296719493,0.5334557403896241,0.22020826496115825,-0.968101526305258,2.8972853654790383,2.7823466097851672,0.5182483162864551]","[0.36718022786213744,-0.6456649115598345,0.6383994232620955]","[[0.5241274377818539,0.6731086477366566,0.5217424434587996],[-0.11649758149778397,0.6635404311226599,-0.7390144854945144],[-0.8436342468566553,0.3265560359382205,0.4261952755755508]]","[-1.1667393296719493,0.5334557403896241,0.22020826496115825,-0.968101526305258,2.8972853654790383,2.7823466097851672,0.5182483162864551]",0.012652334917629168,0.024099796627463296,internal_nonconvergence+position_tolerance+orientation_tolerance,20243191
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,tar_nominal,0,near_singular,99,"[2.195413328739537,0.003155440605547314,1.8030785671643306,-0.5464893144571206,1.2130052182486275,0.23302031685082503,-0.10167580593831728]","[-0.05543068790185998,-0.22089743411382476,0.9282108245041313]","[[0.5028886681400038,-0.7376505645673102,0.45052706028595185],[-0.8619361113418139,-0.46691079496016247,0.19763716632916234],[0.06456878054698884,-0.48771503374736924,-0.8706118069699476]]",,,,non_finite_or_wrong_shape,6545869
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,tar_free,1,joint_limit_return,74,"[-1.195707138069863,0.5348872475154888,0.23704384999010286,-0.9802551504357873,2.8967746257172227,2.7686252381538976,0.5046619074861227]","[0.3569148782906584,-0.6533742062748258,0.6344994544290563]","[[0.5203477485650665,0.6856813383513327,0.5089983524531209],[-0.12868594654447588,0.6522038563142368,-0.7470408670017928],[-0.8442026698164478,0.32322009845546956,0.4276103602921915]]",,,,non_finite_or_wrong_shape,7049896
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,tar_nominal,0,near_singular,114,"[-2.155452760451924,0.056572129680771556,2.4559440451572594,-0.5639169346855945,-2.8972999999999995,2.0629858922591287,-1.7500721804800745]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]",,,,non_finite_or_wrong_shape,6196464
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,tar_nominal,1,near_singular,113,"[-2.09770319570127,0.051651109444689716,2.385986166694603,-0.5526514553740477,-2.884829249933528,2.071956631682444,-1.7467094109919767]","[0.2101951828709031,0.021021791875536586,1.1614518861885486]","[[0.34178788900162776,0.8454662657569564,-0.4103264948779187],[-0.9067247437488449,0.1818961380037802,-0.3804786906686123],[-0.24704509306076639,0.5020961944152706,0.8287750801926298]]",,,,non_finite_or_wrong_shape,6239046
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trac_task_20ms,2,near_singular,114,"[-2.1131420174895226,0.05329229352184089,2.4144758298669213,-0.5556927644074319,-2.8931412652188895,2.069357669246217,-1.757302774798181]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]","[-2.1131420174895226,0.05329229352184089,2.4144758298669213,-0.5556927644074319,-2.8931412652188895,2.069357669246217,-1.757302774798181]",0.002909214089364524,0.00831229235061765,internal_nonconvergence+position_tolerance,20261368
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,pink_qp,0,near_singular,122,"[-2.580960908165891,0.045225535505242616,2.8972999999999995,-0.5738462902928353,-2.8972999999999995,2.0299278701804253,-1.7646994928786397]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.578042024040462,0.036008619969428904,2.8972999999999995,-0.5589157909530367,-2.8972999999999995,2.0324139277175353,-1.7685271154541125]",0.0012992839328331773,0.004631253155571994,position_tolerance,820738
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trac_task_20ms,0,near_singular,115,"[-2.1701475186508623,0.04942419240103458,2.4692080158211933,-0.556438386866314,-2.8917864685463477,2.060816765465533,-1.7549567462377484]","[0.20861375575358249,0.026903607247617728,1.1614330491751486]","[[0.34229102437705455,0.8425791812818971,-0.41580906423650105],[-0.9074290555980031,0.18164137962248073,-0.3789180891239665],[-0.24374036121952192,0.507017487350456,0.8267550446374108]]","[-2.1701475186508623,0.04942419240103458,2.4692080158211933,-0.556438386866314,-2.8917864685463477,2.060816765465533,-1.7549567462377484]",0.0028943698164195933,0.005802441642157868,internal_nonconvergence+position_tolerance,20268896
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trac_task_5ms,1,near_singular,113,"[-2.1440197000234127,0.05233066540568019,2.427774312011095,-0.5557255334171045,-2.8839581079464547,2.071042583608095,-1.7404271449207174]","[0.2101951828709031,0.021021791875536586,1.1614518861885486]","[[0.34178788900162776,0.8454662657569564,-0.4103264948779187],[-0.9067247437488449,0.1818961380037802,-0.3804786906686123],[-0.24704509306076639,0.5020961944152706,0.8287750801926298]]","[-2.1440197000234127,0.05233066540568019,2.427774312011095,-0.5557255334171045,-2.8839581079464547,2.071042583608095,-1.7404271449207174]",0.0028899544480623426,0.003741911647109934,internal_nonconvergence+position_tolerance,5259339
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,tar_fixed,2,near_singular,115,"[-2.1653373461508867,0.05199857144435622,2.4691293429899424,-0.5593516354980393,-2.8957470274129324,2.0612051957673305,-1.7537377125562101]","[0.20861375575358249,0.026903607247617728,1.1614330491751486]","[[0.34229102437705455,0.8425791812818971,-0.41580906423650105],[-0.9074290555980031,0.18164137962248073,-0.3789180891239665],[-0.24374036121952192,0.507017487350456,0.8267550446374108]]",,,,non_finite_or_wrong_shape,7383774
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,tar_fixed,2,near_singular,93,"[0.919250204347709,-0.12061340123599422,1.2763956437827562,-0.2610454689308758,1.4204409620019953,2.8648512080624102,1.8913874185307367]","[-0.09440275994367925,0.04900663477280743,1.1699343623012006]","[[-0.6383613534216706,-0.6137933405483921,-0.4644916765197182],[0.7002405716577843,-0.7136453834461497,-0.019323780436990894],[-0.31962153285101497,-0.33759147172943077,0.8853666325051583]]",,,,non_finite_or_wrong_shape,7306145
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,tar_fixed,2,joint_limit_return,72,"[-1.1791843350938296,0.5342488262804378,0.26679606521847166,-0.9616646581017194,2.8951945839785553,2.7938804350311695,0.4997526791023042]","[0.37719423030748733,-0.6378831642217682,0.6422111927532251]","[[0.5275670504201451,0.6604035474662989,0.534359580998522],[-0.10416908689423132,0.6745619459455053,-0.7308317059472961],[-0.8431024900014291,0.3298989778343376,0.424670290669419]]",,,,non_finite_or_wrong_shape,7298267
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,pink_qp,0,near_singular,122,"[2.8972999999999995,0.2208501889085296,1.71267687290282,-0.6933050514508895,0.8237396789143764,0.3642165226420566,0.10348506575471131]","[-0.06365257251620854,-0.26256401938349483,0.9061759282087597]","[[0.5560616649394297,-0.6796655486174742,0.47838286633960614],[-0.8306996908455809,-0.4357232051395866,0.3465303913539789],[-0.02708225274687437,-0.5900847655425395,-0.8068869320175911]]","[2.8972999999999995,0.24092726647793833,1.7562768729028198,-0.7068710601948309,0.7938662328714136,0.37838831385312666,0.11901884516860067]",0.0010549523841012337,0.008031829089156796,position_tolerance,817785
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,tar_fixed,0,near_singular,119,"[2.8951941125100844,0.19190062567281366,1.6523491260824548,-0.6674741171220678,0.8607477406610547,0.3425272666459507,0.07684712140442587]","[-0.06234755816855856,-0.2584147739463928,0.9085985723227469]","[[0.5505424179895927,-0.6860724429890204,0.47561291925814],[-0.8345978352700153,-0.4395820439607435,0.3319850598895969],[-0.01869490189268268,-0.5797173704473346,-0.8146031371440027]]",,,,non_finite_or_wrong_shape,7303963
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trac_task_20ms,2,near_singular,119,"[2.892744300961782,0.21049785021503747,1.7008640584532764,-0.6733083864968271,0.8255910425633077,0.3558933856897308,0.0925720947152867]","[-0.06234755816855856,-0.2584147739463928,0.9085985723227469]","[[0.5505424179895927,-0.6860724429890204,0.47561291925814],[-0.8345978352700153,-0.4395820439607435,0.3319850598895969],[-0.01869490189268268,-0.5797173704473346,-0.8146031371440027]]","[2.892744300961782,0.21049785021503747,1.7008640584532764,-0.6733083864968271,0.8255910425633077,0.3558933856897308,0.0925720947152867]",0.002075444842783658,0.010307835210653135,internal_nonconvergence+position_tolerance+orientation_tolerance,20294119
panda,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,tar_free,1,near_singular,91,"[-0.8926011978255566,0.7940836676990839,-1.275222432762241,-0.7511269033028611,1.3697631738794016,3.472784035013512,-1.993564339221068]","[0.05250321597456703,-0.6014324014828548,0.8528604693624913]","[[0.9710873320248631,-0.0377331430422353,-0.23572357433440483],[-0.15904564913548008,0.6341101970079162,-0.7567091512210328],[0.17802773680499132,0.7723214796745824,0.6097750871931032]]",,,,non_finite_or_wrong_shape,7180999
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trac_task_20ms,1,near_singular,119,"[2.8782219874742223,0.1984126112021747,1.6827241817629386,-0.6760370688307222,0.8567439198736196,0.34958664369643655,0.08888042489892009]","[-0.06234755816855856,-0.2584147739463928,0.9085985723227469]","[[0.5505424179895927,-0.6860724429890204,0.47561291925814],[-0.8345978352700153,-0.4395820439607435,0.3319850598895969],[-0.01869490189268268,-0.5797173704473346,-0.8146031371440027]]","[2.8782219874742223,0.1984126112021747,1.6827241817629386,-0.6760370688307222,0.8567439198736196,0.34958664369643655,0.08888042489892009]",0.0022424836147069997,0.008200635739090953,internal_nonconvergence+position_tolerance,20246826
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,tar_fixed,0,joint_limit_return,72,"[-1.1540561441660908,0.5343072687609558,0.230699687215217,-0.9571603410078499,2.897238910139664,2.794904772307978,0.5150408761873592]","[0.37719423030748733,-0.6378831642217682,0.6422111927532251]","[[0.5275670504201451,0.6604035474662989,0.534359580998522],[-0.10416908689423132,0.6745619459455053,-0.7308317059472961],[-0.8431024900014291,0.3298989778343376,0.424670290669419]]",,,,non_finite_or_wrong_shape,7320467
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,tar_fixed,1,near_singular,114,"[-2.1775149823963416,0.06116612336019279,2.483339951395153,-0.5699354934574544,-2.897299707487947,2.067082974400706,-1.7477231242851727]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]",,,,non_finite_or_wrong_shape,7494158
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,tar_nominal,2,joint_limit_return,71,"[-1.1720518321833302,0.5392894948754942,0.28563523545880043,-0.9452957305367865,2.8936367973077544,2.8116379876409177,0.4894837360642419]","[0.38693943824308696,-0.6300532542719856,0.6459277823269656]","[[0.5306617129559349,0.6476029799554461,0.5468167213568902],[-0.09173420140043374,0.685240687155057,-0.7225164613769637],[-0.8426048793450567,0.33325002778708235,0.42303833902355853]]",,,,non_finite_or_wrong_shape,6216726
