robot,uid,baseline,repeat,change,previous_q,target_position,target_rotation,dt,relative_q,baseline_q,relative_accepted,baseline_accepted,relative_reasons,baseline_reasons,raw_file,relative_line,baseline_line
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,gn,1,gained,"[-1.9624637846365993,-1.4337878371419972,-0.1633974945067913,-0.3443757980030111,0.47335113898779957,3.2432706943987273,-1.9611046400054044]","[0.2890223468428068,0.7640777649390623,0.5181439354569255]","[[0.9430598769081303,0.10631098818965479,0.31517620842341676],[-0.3303953663684481,0.4088765343898987,0.8506814218657685],[-0.03843137322918458,-0.9063762758454379,0.4207197120842736]]",0.02,"[-2.005427038106169,-1.4773878371419535,-0.11979749450683491,-0.38765596570096683,0.5256511389877473,3.192118591539358,-1.9088046400054568]","[-2.0059935716135104,-1.4773878371419535,-0.11990752821768348,-0.38651613585616396,0.5256511389877473,3.1909706943987795,-1.9088046400054568]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,4028,4027
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,gn,2,gained,"[-1.9624637846365993,-1.4337878371419972,-0.1633974945067913,-0.3443757980030111,0.47335113898779957,3.2432706943987273,-1.9611046400054044]","[0.2890223468428068,0.7640777649390623,0.5181439354569255]","[[0.9430598769081303,0.10631098818965479,0.31517620842341676],[-0.3303953663684481,0.4088765343898987,0.8506814218657685],[-0.03843137322918458,-0.9063762758454379,0.4207197120842736]]",0.02,"[-2.005427038106169,-1.4773878371419535,-0.11979749450683491,-0.38765596570096683,0.5256511389877473,3.192118591539358,-1.9088046400054568]","[-2.0059935716135104,-1.4773878371419535,-0.11990752821768348,-0.38651613585616396,0.5256511389877473,3.1909706943987795,-1.9088046400054568]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,4022,4018
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,gn,0,gained,"[0.8566836058590153,0.9837207643051507,2.176856035343968,-2.4947832833023753,-0.6231545978832851,1.7098651051019995,-0.22896552121852576]","[-0.3583429990979655,0.08953169309067961,0.4224023714137639]","[[-0.8125364687449818,-0.5782742005534003,0.07337190152750198],[-0.576835871192524,0.7795495630900687,-0.24405502738449067],[0.08393369207295266,-0.24062715486912242,-0.9669817514692789]]",0.02,"[0.9002836058589717,1.027320764305107,2.1332560353440115,-2.538383283302332,-0.5708545978833374,1.7583884463329285,-0.28075833381550297]","[0.9002836058589717,1.0242149286240678,2.1332560353440115,-2.538383283302332,-0.5708545978833374,1.7616564267654635,-0.2812655212184735]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,30947,30949
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,gn,1,gained,"[0.8566836058590153,0.9837207643051507,2.176856035343968,-2.4947832833023753,-0.6231545978832851,1.7098651051019995,-0.22896552121852576]","[-0.3583429990979655,0.08953169309067961,0.4224023714137639]","[[-0.8125364687449818,-0.5782742005534003,0.07337190152750198],[-0.576835871192524,0.7795495630900687,-0.24405502738449067],[0.08393369207295266,-0.24062715486912242,-0.9669817514692789]]",0.02,"[0.9002836058589717,1.027320764305107,2.1332560353440115,-2.538383283302332,-0.5708545978833374,1.7583884463329285,-0.28075833381550297]","[0.9002836058589717,1.0242149286240678,2.1332560353440115,-2.538383283302332,-0.5708545978833374,1.7616564267654635,-0.2812655212184735]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,30953,30959
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,gn,2,gained,"[0.8566836058590153,0.9837207643051507,2.176856035343968,-2.4947832833023753,-0.6231545978832851,1.7098651051019995,-0.22896552121852576]","[-0.3583429990979655,0.08953169309067961,0.4224023714137639]","[[-0.8125364687449818,-0.5782742005534003,0.07337190152750198],[-0.576835871192524,0.7795495630900687,-0.24405502738449067],[0.08393369207295266,-0.24062715486912242,-0.9669817514692789]]",0.02,"[0.9002836058589717,1.027320764305107,2.1332560353440115,-2.538383283302332,-0.5708545978833374,1.7583884463329285,-0.28075833381550297]","[0.9002836058589717,1.0242149286240678,2.1332560353440115,-2.538383283302332,-0.5708545978833374,1.7616564267654635,-0.2812655212184735]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,30940,30942
panda,73f79a4c1a01e9d7158753a40c3faeb64614a86a72058c894ba7a9eaba1da0ba,gn,0,gained,"[1.3974073552049884,-0.29300115723025155,-0.4871158882737747,-2.8080645060169656,0.06937522729490553,3.3054439093192567,1.8374584579232036]","[0.2486599661694994,0.32221333714887573,0.3715215034293826]","[[0.5805570860895989,-0.7438536361947952,0.3311121225671682],[-0.7120104649233719,-0.26654182876637705,0.6496126163780065],[-0.39496147613502497,-0.6128925039822698,-0.6843743207715973]]",0.02,"[1.4410073552049447,-0.3358648559497149,-0.5302729147985569,-2.850198372573246,0.019283170090246837,3.3577439093192045,1.8897584579231512]","[1.4410073552049447,-0.3339912310442343,-0.5304526498515116,-2.849441788522692,0.019492352090145444,3.3577439093192045,1.8897584579231512]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,51478,51467
panda,73f79a4c1a01e9d7158753a40c3faeb64614a86a72058c894ba7a9eaba1da0ba,gn,1,gained,"[1.3974073552049884,-0.29300115723025155,-0.4871158882737747,-2.8080645060169656,0.06937522729490553,3.3054439093192567,1.8374584579232036]","[0.2486599661694994,0.32221333714887573,0.3715215034293826]","[[0.5805570860895989,-0.7438536361947952,0.3311121225671682],[-0.7120104649233719,-0.26654182876637705,0.6496126163780065],[-0.39496147613502497,-0.6128925039822698,-0.6843743207715973]]",0.02,"[1.4410073552049447,-0.3358648559497149,-0.5302729147985569,-2.850198372573246,0.019283170090246837,3.3577439093192045,1.8897584579231512]","[1.4410073552049447,-0.3339912310442343,-0.5304526498515116,-2.849441788522692,0.019492352090145444,3.3577439093192045,1.8897584579231512]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,51461,51464
panda,73f79a4c1a01e9d7158753a40c3faeb64614a86a72058c894ba7a9eaba1da0ba,gn,2,gained,"[1.3974073552049884,-0.29300115723025155,-0.4871158882737747,-2.8080645060169656,0.06937522729490553,3.3054439093192567,1.8374584579232036]","[0.2486599661694994,0.32221333714887573,0.3715215034293826]","[[0.5805570860895989,-0.7438536361947952,0.3311121225671682],[-0.7120104649233719,-0.26654182876637705,0.6496126163780065],[-0.39496147613502497,-0.6128925039822698,-0.6843743207715973]]",0.02,"[1.4410073552049447,-0.3358648559497149,-0.5302729147985569,-2.850198372573246,0.019283170090246837,3.3577439093192045,1.8897584579231512]","[1.4410073552049447,-0.3339912310442343,-0.5304526498515116,-2.849441788522692,0.019492352090145444,3.3577439093192045,1.8897584579231512]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,51476,51479
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,gn,0,gained,"[-0.03751553526178375,1.0872811976292227,2.8649247007141794,-2.2438269797397146,1.6799333325288317,1.760529178285014,1.8137420804372257]","[-0.12896983171954352,0.07923129852557301,0.8632897742643734]","[[-0.23097685681781507,0.9585801636738394,-0.1666546171745551],[-0.4351804067666206,-0.2549812822420453,-0.8634828077458411],[-0.8702112991572802,-0.12691972075779767,0.4760500806656392]]",0.02,"[0.006084464738172653,1.130881197629179,2.821324700714223,-2.200505464700848,1.7322333325287793,1.7095717166076119,1.8660420804371733]","[0.004126390453594402,1.130881197629179,2.821324700714223,-2.200226979739758,1.7322333325287793,1.7082291782850665,1.8660420804371733]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26723,26732
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,gn,1,gained,"[-0.03751553526178375,1.0872811976292227,2.8649247007141794,-2.2438269797397146,1.6799333325288317,1.760529178285014,1.8137420804372257]","[-0.12896983171954352,0.07923129852557301,0.8632897742643734]","[[-0.23097685681781507,0.9585801636738394,-0.1666546171745551],[-0.4351804067666206,-0.2549812822420453,-0.8634828077458411],[-0.8702112991572802,-0.12691972075779767,0.4760500806656392]]",0.02,"[0.006084464738172653,1.130881197629179,2.821324700714223,-2.200505464700848,1.7322333325287793,1.7095717166076119,1.8660420804371733]","[0.004126390453594402,1.130881197629179,2.821324700714223,-2.200226979739758,1.7322333325287793,1.7082291782850665,1.8660420804371733]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26713,26726
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,gn,2,gained,"[-0.03751553526178375,1.0872811976292227,2.8649247007141794,-2.2438269797397146,1.6799333325288317,1.760529178285014,1.8137420804372257]","[-0.12896983171954352,0.07923129852557301,0.8632897742643734]","[[-0.23097685681781507,0.9585801636738394,-0.1666546171745551],[-0.4351804067666206,-0.2549812822420453,-0.8634828077458411],[-0.8702112991572802,-0.12691972075779767,0.4760500806656392]]",0.02,"[0.006084464738172653,1.130881197629179,2.821324700714223,-2.200505464700848,1.7322333325287793,1.7095717166076119,1.8660420804371733]","[0.004126390453594402,1.130881197629179,2.821324700714223,-2.200226979739758,1.7322333325287793,1.7082291782850665,1.8660420804371733]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26722,26719
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,gn,0,gained,"[-1.1564540749340664,0.3069283628119941,-0.4513028599868454,-0.48115515944398624,-1.2539824571976514,2.4211031437309325,-1.9203864550004073]","[0.027900317410742687,-0.4592896431554444,1.0514708901021093]","[[-0.1920261647120466,0.7004479215291866,-0.6873853804754828],[-0.48653259090945417,-0.6762334322232523,-0.5531675904520197],[-0.8522980640884477,0.22821273927851207,0.4706452544986323]]",0.02,"[-1.2000540749340227,0.2633652989982241,-0.4949028599868018,-0.5247551594439427,-1.306282457197599,2.3688031437309847,-1.9726864550003549]","[-1.2000540749340227,0.2633283628120377,-0.4949028599868018,-0.5235154561211259,-1.306282457197599,2.3688031437309847,-1.9726864550003549]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26860,26857
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,gn,1,gained,"[-1.1564540749340664,0.3069283628119941,-0.4513028599868454,-0.48115515944398624,-1.2539824571976514,2.4211031437309325,-1.9203864550004073]","[0.027900317410742687,-0.4592896431554444,1.0514708901021093]","[[-0.1920261647120466,0.7004479215291866,-0.6873853804754828],[-0.48653259090945417,-0.6762334322232523,-0.5531675904520197],[-0.8522980640884477,0.22821273927851207,0.4706452544986323]]",0.02,"[-1.2000540749340227,0.2633652989982241,-0.4949028599868018,-0.5247551594439427,-1.306282457197599,2.3688031437309847,-1.9726864550003549]","[-1.2000540749340227,0.2633283628120377,-0.4949028599868018,-0.5235154561211259,-1.306282457197599,2.3688031437309847,-1.9726864550003549]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26871,26867
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,gn,2,gained,"[-1.1564540749340664,0.3069283628119941,-0.4513028599868454,-0.48115515944398624,-1.2539824571976514,2.4211031437309325,-1.9203864550004073]","[0.027900317410742687,-0.4592896431554444,1.0514708901021093]","[[-0.1920261647120466,0.7004479215291866,-0.6873853804754828],[-0.48653259090945417,-0.6762334322232523,-0.5531675904520197],[-0.8522980640884477,0.22821273927851207,0.4706452544986323]]",0.02,"[-1.2000540749340227,0.2633652989982241,-0.4949028599868018,-0.5247551594439427,-1.306282457197599,2.3688031437309847,-1.9726864550003549]","[-1.2000540749340227,0.2633283628120377,-0.4949028599868018,-0.5235154561211259,-1.306282457197599,2.3688031437309847,-1.9726864550003549]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26879,26858
panda,be9efe6f5d0c2f73beef69d62c4161e8fd60ec78077e0d5a44b11cbca028ec0e,gn,0,gained,"[1.9699470517888882,-1.2529237587883288,-1.8308594990560083,-0.40721849374243524,1.7216603037726967,0.5524702869920588,1.4535337369940606]","[0.375508094380962,-0.5188855304773592,0.60846579313138]","[[0.7250642985809784,-0.3937765998174404,-0.5649971259745387],[0.6713774697688342,0.22141285179378303,0.7072684371208308],[-0.15340813541032206,-0.892141434132929,0.4249112913222813]]",0.02,"[1.926692859067428,-1.2965237587882852,-1.787259499056052,-0.45081849374239163,1.6708520093134664,0.6044478636223963,1.5058337369940082]","[1.9263470517889318,-1.2951976852607718,-1.791774703475206,-0.45081849374239163,1.6759332816558596,0.6014240063514913,1.5058337369940082]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9694,9679
panda,be9efe6f5d0c2f73beef69d62c4161e8fd60ec78077e0d5a44b11cbca028ec0e,gn,1,gained,"[1.9699470517888882,-1.2529237587883288,-1.8308594990560083,-0.40721849374243524,1.7216603037726967,0.5524702869920588,1.4535337369940606]","[0.375508094380962,-0.5188855304773592,0.60846579313138]","[[0.7250642985809784,-0.3937765998174404,-0.5649971259745387],[0.6713774697688342,0.22141285179378303,0.7072684371208308],[-0.15340813541032206,-0.892141434132929,0.4249112913222813]]",0.02,"[1.926692859067428,-1.2965237587882852,-1.787259499056052,-0.45081849374239163,1.6708520093134664,0.6044478636223963,1.5058337369940082]","[1.9263470517889318,-1.2951976852607718,-1.791774703475206,-0.45081849374239163,1.6759332816558596,0.6014240063514913,1.5058337369940082]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9690,9682
panda,be9efe6f5d0c2f73beef69d62c4161e8fd60ec78077e0d5a44b11cbca028ec0e,gn,2,gained,"[1.9699470517888882,-1.2529237587883288,-1.8308594990560083,-0.40721849374243524,1.7216603037726967,0.5524702869920588,1.4535337369940606]","[0.375508094380962,-0.5188855304773592,0.60846579313138]","[[0.7250642985809784,-0.3937765998174404,-0.5649971259745387],[0.6713774697688342,0.22141285179378303,0.7072684371208308],[-0.15340813541032206,-0.892141434132929,0.4249112913222813]]",0.02,"[1.926692859067428,-1.2965237587882852,-1.787259499056052,-0.45081849374239163,1.6708520093134664,0.6044478636223963,1.5058337369940082]","[1.9263470517889318,-1.2951976852607718,-1.791774703475206,-0.45081849374239163,1.6759332816558596,0.6014240063514913,1.5058337369940082]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9693,9687
panda,dfe6e713d05a39be8b5a02b380237f01f6a459b63be3d831191551bfbed52fbd,gn,0,gained,"[1.3281900469959749,1.7449794532811744,-1.7614873016889279,-2.3430989377115417,-2.276399109755871,2.9887788061952913,2.3104297137546532]","[0.4844391009697206,-0.08327201820700665,0.35251417616743114]","[[0.6734532353283235,-0.3082677868325259,0.6718866804954462],[0.7379445173397353,0.226775474931731,-0.6356184179975534],[0.0435732619164382,0.9238743721799323,0.3802072004514082]]",0.02,"[1.3717900469959312,1.7620015283892692,-1.7191460131472716,-2.299498937711585,-2.2240991097559233,2.9364788061953435,2.362729713754601]","[1.3711460279601781,1.7612638894398265,-1.7193969347898328,-2.2999908894523453,-2.2246616995270703,2.9364788061953435,2.362729713754601]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,31269,31249
panda,dfe6e713d05a39be8b5a02b380237f01f6a459b63be3d831191551bfbed52fbd,gn,1,gained,"[1.3281900469959749,1.7449794532811744,-1.7614873016889279,-2.3430989377115417,-2.276399109755871,2.9887788061952913,2.3104297137546532]","[0.4844391009697206,-0.08327201820700665,0.35251417616743114]","[[0.6734532353283235,-0.3082677868325259,0.6718866804954462],[0.7379445173397353,0.226775474931731,-0.6356184179975534],[0.0435732619164382,0.9238743721799323,0.3802072004514082]]",0.02,"[1.3717900469959312,1.7620015283892692,-1.7191460131472716,-2.299498937711585,-2.2240991097559233,2.9364788061953435,2.362729713754601]","[1.3711460279601781,1.7612638894398265,-1.7193969347898328,-2.2999908894523453,-2.2246616995270703,2.9364788061953435,2.362729713754601]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,31267,31260
panda,dfe6e713d05a39be8b5a02b380237f01f6a459b63be3d831191551bfbed52fbd,gn,2,gained,"[1.3281900469959749,1.7449794532811744,-1.7614873016889279,-2.3430989377115417,-2.276399109755871,2.9887788061952913,2.3104297137546532]","[0.4844391009697206,-0.08327201820700665,0.35251417616743114]","[[0.6734532353283235,-0.3082677868325259,0.6718866804954462],[0.7379445173397353,0.226775474931731,-0.6356184179975534],[0.0435732619164382,0.9238743721799323,0.3802072004514082]]",0.02,"[1.3717900469959312,1.7620015283892692,-1.7191460131472716,-2.299498937711585,-2.2240991097559233,2.9364788061953435,2.362729713754601]","[1.3711460279601781,1.7612638894398265,-1.7193969347898328,-2.2999908894523453,-2.2246616995270703,2.9364788061953435,2.362729713754601]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,31266,31251
panda,0d32c6916decb925d713a8b84dc54d863d0c9c284dd3c084e1b925ac1edc08ea,range_loss_matched,0,gained,"[0.11164274270848384,-0.0588021847866107,1.4130578700617678,-2.113586838598634,-2.363869273527027,1.9243055065790202,-2.3408478951123355]","[0.060874552443233254,0.5703891033227938,0.5054308236240215]","[[0.5979574654422817,0.5122932322557119,0.6164434391790031],[-0.7755015498069792,0.1753786747034152,0.606497870322928],[0.2025937209511095,-0.8407127717861012,0.5021531833882119]]",0.02,"[0.15372099863943095,-0.1024021847865671,1.3694578700618114,-2.155269978312314,-2.416169273526975,1.874966851891445,-2.3931478951122833]","[0.15018090407664486,-0.1024021847865671,1.3718409811033192,-2.1571868385985904,-2.416169273526975,1.8752861232526756,-2.3931478951122833]",True,False,[],"[""position_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,19770,19765
