robot,method,uid,family,search_repeats,completion,deadline_completion,total_latency_ns,frame_success,acceleration_rms,intervention_normalized_mean,optimization_call_rate,partial_correction_rate,effective_command_adjustment_rate,normalized_shortfall_reduction_mean
panda,trac_task_5ms,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,near_singular,3,1.0,1.0,25853656.666666668,1.0,9.928842210933235,,,,,
panda,trac_task_5ms,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,joint_limit_return,3,1.0,1.0,27105003.333333332,1.0,1.044430932285496,,,,,
panda,trac_task_5ms,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,joint_limit_return,3,1.0,0.6666666666666666,41637297.666666664,1.0,1.4021428515076295,,,,,
panda,trac_task_5ms,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,smooth,3,1.0,1.0,25807479.0,1.0,0.8687729204566056,,,,,
panda,trac_task_5ms,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,joint_limit_return,3,1.0,1.0,25645822.666666668,1.0,0.7469876032325572,,,,,
panda,trac_task_5ms,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,joint_limit_return,3,1.0,1.0,26435158.333333332,1.0,2.179367290933442,,,,,
panda,trac_task_5ms,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,high_curvature,3,1.0,1.0,25302070.333333332,1.0,6.801463679778195,,,,,
panda,trac_task_5ms,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,high_curvature,3,1.0,1.0,25642692.333333332,1.0,8.004100211451247,,,,,
panda,trac_task_5ms,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,3,1.0,1.0,26018520.0,1.0,0.784835685794896,,,,,
panda,trac_task_5ms,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,3,1.0,1.0,25261790.666666668,1.0,0.7024395737454813,,,,,
panda,trac_task_5ms,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,near_singular,3,1.0,1.0,36452229.666666664,1.0,16.185319724874294,,,,,
panda,trac_task_5ms,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,3,1.0,1.0,25687583.333333332,1.0,1.5882272238479234,,,,,
panda,trac_task_5ms,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,smooth,3,1.0,1.0,25422052.666666668,1.0,0.7060974382338667,,,,,
panda,trac_task_5ms,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,joint_limit_return,3,0.0,0.0,424633553.3333333,0.48,6.465412996835596,,,,,
panda,trac_task_5ms,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,high_curvature,3,1.0,1.0,26974213.666666668,1.0,8.61337361885517,,,,,
panda,trac_task_5ms,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,3,1.0,1.0,25981210.333333332,1.0,0.7639065356516695,,,,,
panda,trac_task_5ms,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,high_curvature,3,1.0,1.0,25527279.0,1.0,6.4015936134659706,,,,,
panda,trac_task_5ms,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,high_curvature,3,1.0,1.0,25809083.666666668,1.0,7.042927818511711,,,,,
panda,trac_task_5ms,c99e2c9b46eb1858a0dd2f525833e49b6f0b7c25001781f1b00044934372d935,near_singular,3,1.0,1.0,25592375.666666668,1.0,1.8727047566067991,,,,,
panda,trac_task_5ms,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,near_singular,3,0.0,0.0,186002841.66666666,0.7933333333333333,5.489199697389808,,,,,
panda,trac_task_5ms,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,smooth,3,1.0,1.0,25098231.666666668,1.0,0.9993145385359532,,,,,
panda,trac_task_5ms,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,near_singular,3,1.0,1.0,25495556.0,1.0,7.377044676317671,,,,,
panda,trac_task_5ms,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,high_curvature,3,1.0,1.0,27692147.666666668,1.0,6.477335754790279,,,,,
panda,trac_task_5ms,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,3,1.0,1.0,25233990.666666668,1.0,1.0427864295238516,,,,,
panda,trac_task_5ms,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,near_singular,3,0.6666666666666666,0.6666666666666666,43898280.333333336,0.9933333333333333,13.964546119124265,,,,,
panda,trac_task_5ms,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,3,1.0,1.0,26570706.666666668,1.0,0.5688726422222132,,,,,
panda,trac_task_5ms,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,high_curvature,3,1.0,1.0,25889092.333333332,1.0,5.423789326725372,,,,,
panda,trac_task_5ms,f786741c9f59d7d552811f1959141226fb4d169d5c149b34b1fb99edb7839b2c,high_curvature,3,1.0,1.0,25971608.333333332,1.0,7.307812610463171,,,,,
panda,trac_task_5ms,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,high_curvature,3,1.0,1.0,27041163.666666668,1.0,6.249055618891138,,,,,
panda,trac_task_20ms,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,3,1.0,1.0,25880855.333333332,1.0,1.4662946646145167,,,,,
panda,trac_task_20ms,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,3,1.0,1.0,25886226.0,1.0,0.6781011520975225,,,,,
panda,trac_task_20ms,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,joint_limit_return,3,1.0,1.0,26662864.333333332,1.0,1.3082521682899213,,,,,
panda,trac_task_20ms,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,3,1.0,1.0,26779765.0,1.0,1.4594795375547447,,,,,
panda,trac_task_20ms,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,3,1.0,1.0,25983090.666666668,1.0,1.9761108689104177,,,,,
panda,trac_task_20ms,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,high_curvature,3,1.0,1.0,25160309.333333332,1.0,5.521765691626512,,,,,
panda,trac_task_20ms,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,near_singular,3,1.0,1.0,26561495.333333332,1.0,2.476978584302771,,,,,
panda,trac_task_20ms,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,joint_limit_return,3,1.0,1.0,25716707.0,1.0,0.9674579854187383,,,,,
panda,trac_task_20ms,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,near_singular,3,1.0,1.0,25778049.333333332,1.0,1.2144939229151719,,,,,
panda,trac_task_20ms,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,joint_limit_return,3,1.0,1.0,25552652.0,1.0,0.7123020578666269,,,,,
panda,trac_task_20ms,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,near_singular,3,0.0,0.0,755293526.0,0.7644444444444445,6.339946523098848,,,,,
panda,trac_task_20ms,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,near_singular,3,1.0,1.0,27295496.666666668,1.0,10.86882879036722,,,,,
panda,trac_task_20ms,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,joint_limit_return,3,1.0,1.0,26578165.666666668,1.0,1.2293497418059525,,,,,
panda,trac_task_20ms,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,joint_limit_return,3,1.0,1.0,26022637.333333332,1.0,0.8432467551249317,,,,,
panda,trac_task_20ms,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,smooth,3,1.0,1.0,25695766.0,1.0,1.4183721290500129,,,,,
panda,trac_task_20ms,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,joint_limit_return,3,1.0,1.0,25944911.0,1.0,0.9026491632649009,,,,,
panda,trac_task_20ms,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,joint_limit_return,3,1.0,1.0,26337109.333333332,1.0,2.236994328371185,,,,,
panda,trac_task_20ms,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,high_curvature,3,1.0,1.0,25965561.0,1.0,6.769767322443755,,,,,
panda,trac_task_20ms,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,high_curvature,3,1.0,1.0,25592520.0,1.0,8.11640455031518,,,,,
panda,trac_task_20ms,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,3,1.0,1.0,25546919.333333332,1.0,0.784835685794896,,,,,
panda,trac_task_20ms,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,3,1.0,1.0,27427490.0,1.0,0.9330729640339368,,,,,
panda,trac_task_20ms,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,near_singular,3,1.0,1.0,32022767.0,1.0,15.27986218953435,,,,,
panda,trac_task_20ms,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,3,1.0,1.0,26405896.333333332,1.0,1.9414483941034224,,,,,
panda,trac_task_20ms,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,smooth,3,1.0,1.0,26154049.0,1.0,0.9606779212344394,,,,,
panda,trac_task_20ms,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,joint_limit_return,3,0.0,0.0,1561241781.6666667,0.5,7.2725854236856975,,,,,
panda,trac_task_20ms,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,high_curvature,3,1.0,1.0,25602388.666666668,1.0,8.616079335799684,,,,,
panda,trac_task_20ms,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,3,1.0,1.0,26477554.333333332,1.0,0.7639065356516695,,,,,
panda,trac_task_20ms,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,high_curvature,3,1.0,1.0,25768531.333333332,1.0,6.40875384248588,,,,,
panda,trac_task_20ms,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,high_curvature,3,1.0,1.0,26893646.333333332,1.0,6.957176063666445,,,,,
panda,trac_task_20ms,c99e2c9b46eb1858a0dd2f525833e49b6f0b7c25001781f1b00044934372d935,near_singular,3,1.0,1.0,27091718.333333332,1.0,1.9156259763390395,,,,,
panda,trac_task_20ms,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,near_singular,3,0.0,0.0,659428886.0,0.7955555555555556,4.664650785314724,,,,,
panda,trac_task_20ms,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,smooth,3,1.0,1.0,26504978.333333332,1.0,0.6341075176028448,,,,,
panda,trac_task_20ms,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,near_singular,3,1.0,1.0,27293234.333333332,1.0,7.345273423700985,,,,,
panda,trac_task_20ms,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,high_curvature,3,1.0,0.6666666666666666,41421133.0,1.0,6.477335754790279,,,,,
panda,trac_task_20ms,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,3,1.0,1.0,26301608.333333332,1.0,0.8616502129202726,,,,,
panda,trac_task_20ms,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,near_singular,3,0.6666666666666666,0.6666666666666666,54518789.0,0.9977777777777778,13.62699297629929,,,,,
panda,trac_task_20ms,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,3,1.0,1.0,25187407.666666668,1.0,0.8659957136810466,,,,,
panda,trac_task_20ms,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,high_curvature,3,1.0,1.0,25329113.666666668,1.0,5.423789326725372,,,,,
panda,trac_task_20ms,f786741c9f59d7d552811f1959141226fb4d169d5c149b34b1fb99edb7839b2c,high_curvature,3,1.0,1.0,25456561.333333332,1.0,7.426159209483417,,,,,
panda,trac_task_20ms,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,high_curvature,3,1.0,1.0,25390806.333333332,1.0,6.249055618891138,,,,,
panda,pink_qp,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,1,1.0,1.0,151057353.0,1.0,0.8146854997603413,,,,,
panda,pink_qp,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,1,1.0,1.0,148747649.0,1.0,0.6981899370518191,,,,,
panda,pink_qp,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,joint_limit_return,1,1.0,1.0,104099901.0,1.0,0.7364915305379321,,,,,
panda,pink_qp,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,1,1.0,1.0,151903624.0,1.0,2.5980441197595994,,,,,
panda,pink_qp,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,1,1.0,1.0,116522040.0,1.0,8.02606031186952,,,,,
panda,pink_qp,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,high_curvature,1,1.0,1.0,105556582.0,1.0,5.536935280663696,,,,,
panda,pink_qp,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,near_singular,1,1.0,1.0,149315093.0,1.0,0.4995676857806554,,,,,
panda,pink_qp,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,joint_limit_return,1,1.0,1.0,153325777.0,1.0,0.9645233991116013,,,,,
panda,pink_qp,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,near_singular,1,1.0,1.0,144336052.0,1.0,12.062483469837435,,,,,
panda,pink_qp,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,joint_limit_return,1,1.0,1.0,149901110.0,1.0,0.8109637297348004,,,,,
panda,pink_qp,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,near_singular,1,0.0,0.0,142405280.0,0.8133333333333334,5.6003883010872,,,,,
panda,pink_qp,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,near_singular,1,1.0,1.0,137089739.0,1.0,14.61888794273332,,,,,
panda,pink_qp,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,joint_limit_return,1,1.0,1.0,148063233.0,1.0,1.7294671874173717,,,,,
panda,pink_qp,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,joint_limit_return,1,1.0,1.0,125499302.0,1.0,0.5985978695703988,,,,,
panda,pink_qp,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,smooth,1,1.0,1.0,135118642.0,1.0,0.5909815334562702,,,,,
panda,pink_qp,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,joint_limit_return,1,1.0,1.0,130243676.0,1.0,1.642845085784375,,,,,
panda,pink_qp,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,joint_limit_return,1,1.0,1.0,147952675.0,1.0,2.961173026746098,,,,,
panda,pink_qp,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,high_curvature,1,0.0,0.0,132055409.0,0.7,12.569781595621395,,,,,
panda,pink_qp,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,high_curvature,1,1.0,1.0,143276624.0,1.0,7.8431550889652755,,,,,
panda,pink_qp,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,1,1.0,1.0,151711922.0,1.0,0.7878705333797553,,,,,
panda,pink_qp,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,1,1.0,1.0,142601785.0,1.0,1.0144205628195009,,,,,
panda,pink_qp,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,near_singular,1,1.0,1.0,148896093.0,1.0,0.7689519509256314,,,,,
panda,pink_qp,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,1,1.0,1.0,134124603.0,1.0,0.7872605637968084,,,,,
panda,pink_qp,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,smooth,1,1.0,1.0,152345274.0,1.0,0.8836881236719779,,,,,
panda,pink_qp,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,joint_limit_return,1,1.0,1.0,151160119.0,1.0,1.1460322191025802,,,,,
panda,pink_qp,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,high_curvature,1,1.0,1.0,113816692.0,1.0,8.516079573520747,,,,,
panda,pink_qp,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,1,1.0,1.0,114155800.0,1.0,0.7648179489753624,,,,,
panda,pink_qp,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,high_curvature,1,1.0,1.0,129505033.0,1.0,6.32317632666306,,,,,
panda,pink_qp,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,high_curvature,1,1.0,1.0,140610875.0,1.0,6.9663474845003,,,,,
panda,pink_qp,c99e2c9b46eb1858a0dd2f525833e49b6f0b7c25001781f1b00044934372d935,near_singular,1,1.0,1.0,137754387.0,1.0,2.5554068605522184,,,,,
panda,pink_qp,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,near_singular,1,0.0,0.0,129512783.0,0.8133333333333334,21.92627750906463,,,,,
panda,pink_qp,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,smooth,1,1.0,1.0,138329237.0,1.0,0.6442190054329557,,,,,
panda,pink_qp,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,near_singular,1,1.0,1.0,142114530.0,1.0,0.5049156230253834,,,,,
panda,pink_qp,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,high_curvature,1,1.0,1.0,145623816.0,1.0,6.390171803485504,,,,,
panda,pink_qp,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,1,1.0,1.0,150739555.0,1.0,0.7304703424418265,,,,,
panda,pink_qp,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,near_singular,1,1.0,1.0,149456353.0,1.0,5.833894048651954,,,,,
panda,pink_qp,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,1,1.0,1.0,126397352.0,1.0,0.5702198343853782,,,,,
panda,pink_qp,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,high_curvature,1,1.0,1.0,148823227.0,1.0,5.52201960832949,,,,,
panda,pink_qp,f786741c9f59d7d552811f1959141226fb4d169d5c149b34b1fb99edb7839b2c,high_curvature,1,1.0,1.0,148617739.0,1.0,8.037221038946448,,,,,
panda,pink_qp,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,high_curvature,1,1.0,1.0,147147287.0,1.0,6.6012661805033055,,,,,
panda,cr_ik,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,3,1.0,0.6666666666666666,862638637.6666666,1.0,0.7869602735921957,0.05861127169846244,1.0,,,
panda,cr_ik,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,3,1.0,1.0,852738875.6666666,1.0,0.7979278480724165,0.03192132324462111,1.0,,,
panda,cr_ik,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,joint_limit_return,3,1.0,1.0,855537324.3333334,1.0,0.7085425267707892,0.026214907630372954,1.0,,,
panda,cr_ik,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,3,1.0,1.0,862119575.6666666,1.0,1.06602408817675,0.071154002897947,1.0,,,
panda,cr_ik,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,3,1.0,1.0,814326639.0,1.0,12.909509183416873,0.14951129877863942,1.0,,,
panda,cr_ik,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,high_curvature,3,1.0,1.0,871970247.3333334,1.0,6.282942314824701,0.12386201512661188,1.0,,,
panda,cr_ik,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,near_singular,3,1.0,1.0,832456436.6666666,1.0,9.416849618050728,0.19616936696859952,1.0,,,
panda,cr_ik,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,joint_limit_return,3,1.0,1.0,838849449.0,1.0,3.92786685308637,0.21804031824801465,1.0,,,
panda,cr_ik,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,near_singular,3,1.0,1.0,835873993.0,1.0,5.806519179930237,0.13842696512624186,1.0,,,
panda,cr_ik,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,joint_limit_return,3,1.0,1.0,859136413.0,1.0,0.8615765561397947,0.03338061353219326,1.0,,,
panda,cr_ik,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,near_singular,3,0.0,0.0,855982497.3333334,0.7555555555555555,13.105761336977096,0.34347349710693836,1.0,,,
panda,cr_ik,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,near_singular,3,1.0,1.0,830799310.6666666,1.0,11.934086755400307,0.06420104426090771,1.0,,,
panda,cr_ik,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,joint_limit_return,3,1.0,1.0,863265484.6666666,1.0,1.731882182000443,0.0878708725260617,1.0,,,
panda,cr_ik,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,joint_limit_return,3,1.0,1.0,821662054.3333334,1.0,0.7315131846643969,0.0961825851332,1.0,,,
panda,cr_ik,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,smooth,3,1.0,1.0,852745666.3333334,1.0,0.6092265498675052,0.06417485191060898,1.0,,,
panda,cr_ik,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,joint_limit_return,3,1.0,1.0,869893334.0,1.0,5.824927470565378,0.15891192435314544,1.0,,,
panda,cr_ik,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,joint_limit_return,3,1.0,1.0,894921562.6666666,1.0,5.501917555186583,0.17914851467674742,1.0,,,
panda,cr_ik,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,high_curvature,3,1.0,0.6666666666666666,870147039.3333334,1.0,9.401740318577309,0.17015136794498406,1.0,,,
panda,cr_ik,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,high_curvature,3,1.0,1.0,851555954.3333334,1.0,10.091014494853896,0.12226707494078021,1.0,,,
panda,cr_ik,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,3,1.0,1.0,837056202.3333334,1.0,0.7785286261903727,0.05835588750044316,1.0,,,
panda,cr_ik,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,3,1.0,1.0,834573737.0,1.0,0.7544847515287078,0.034643974493152284,1.0,,,
panda,cr_ik,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,near_singular,3,1.0,1.0,836804869.6666666,1.0,9.32246201472818,0.2867406925687854,1.0,,,
panda,cr_ik,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,3,1.0,1.0,839495443.6666666,1.0,0.9395677427231609,0.04584153265576205,1.0,,,
