robot,stratum,kappa,method,calls,command_accepted_calls,verifier_calls,full_call_p50_ms,common_tight_quality_calls,common_tight_full_call_p50_ms,native_clarabel_solve_p50_ms,clarabel_setup_update_p50_ms,call_segment_p50_ms,segment_note
panda,historical_failure_inputs,1,clarabel_command,205,80,205,0.265958,205,0.265958,0.063267,0.024351,0.151187,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,1,clarabel_epigraph,205,,0,0.158772,205,0.158772,0.063176,0.0245,0.152168,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,1,old_command,205,80,1405,0.968645,205,0.968645,,,0.825185,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,1,old_tight,205,,0,0.455752,205,0.455752,,,0.412167,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,1,relative_command,205,20,410,0.358213,205,0.358213,,,0.21833,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,1,relative_progress,205,,0,0.154753,205,0.154753,,,0.113264,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,0,cached_command,320,315,645,0.277994,320,0.277994,,,0.1415365,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,0,cached_tight,320,,0,0.127596,320,0.127596,,,0.08689,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,0,clarabel_command,320,315,320,0.2587585,320,0.2587585,0.0639375,0.0232515,0.1482305,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,0,clarabel_epigraph,320,,0,0.153568,320,0.153568,0.0646555,0.023312,0.1474935,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,0,old_command,320,315,645,0.3070585,320,0.3070585,,,0.1694875,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,0,old_tight,320,,0,0.1279955,320,0.1279955,,,0.0875675,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,0,relative_command,320,315,640,0.2779695,320,0.2779695,,,0.1418375,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,0,relative_progress,320,,0,0.1222505,320,0.1222505,,,0.0828715,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,1,cached_command,320,315,655,0.278511,320,0.278511,,,0.1418505,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,1,cached_tight,320,,0,0.191807,320,0.191807,,,0.151266,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,1,clarabel_command,320,315,320,0.255467,320,0.255467,0.060339,0.023392,0.1446975,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,1,clarabel_epigraph,320,,0,0.151247,320,0.151247,0.060545,0.0235325,0.1450275,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,1,old_command,320,315,655,0.3073175,320,0.3073175,,,0.169716,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,1,old_tight,320,,0,0.1908225,320,0.1908225,,,0.1501765,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,1,relative_command,320,315,640,0.278668,320,0.278668,,,0.142696,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,regular_first_subproblems,1,relative_progress,320,,0,0.121299,320,0.121299,,,0.082244,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,0,cached_command,55,25,240,0.685447,55,0.685447,,,0.552987,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,0,cached_tight,55,,0,0.441199,55,0.441199,,,0.399439,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,0,clarabel_command,55,25,55,0.246303,55,0.246303,0.056005,0.023489,0.139173,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,0,clarabel_epigraph,55,,0,0.149722,55,0.149722,0.057042,0.023855,0.14376,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,0,old_command,55,25,240,0.668848,55,0.668848,,,0.538991,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,0,old_tight,55,,0,0.435955,55,0.435955,,,0.394475,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,0,relative_command,55,5,110,0.325928,55,0.325928,,,0.194029,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,0,relative_progress,55,,0,0.13719,55,0.13719,,,0.09608,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,1,cached_command,55,25,240,0.667994,55,0.667994,,,0.536221,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,1,cached_tight,55,,0,0.43762,55,0.43762,,,0.394617,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,1,clarabel_command,55,25,55,0.247728,55,0.247728,0.056258,0.023573,0.142135,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,1,clarabel_epigraph,55,,0,0.148089,55,0.148089,0.056404,0.023559,0.141981,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,1,old_command,55,25,240,0.677934,55,0.677934,,,0.545894,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,1,old_tight,55,,0,0.435813,55,0.435813,,,0.393962,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,1,relative_command,55,5,110,0.324644,55,0.324644,,,0.192765,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,historical_failure_inputs,1,relative_progress,55,,0,0.136365,55,0.136365,,,0.094714,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,0,cached_command,320,315,650,0.26231,300,0.261861,,,0.132363,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,0,cached_tight,320,,0,0.126606,300,0.124423,,,0.086577,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,0,clarabel_command,320,315,320,0.248689,300,0.248887,0.0597495,0.022874,0.1437015,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,0,clarabel_epigraph,320,,0,0.151198,300,0.1513225,0.0616735,0.0230265,0.145189,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,0,old_command,320,315,650,0.2915495,300,0.2912225,,,0.160229,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,0,old_tight,320,,0,0.129754,300,0.127633,,,0.08857,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,0,relative_command,320,315,640,0.2613905,300,0.2609925,,,0.1324115,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,0,relative_progress,320,,0,0.118761,300,0.1187515,,,0.0794055,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,1,cached_command,320,315,650,0.261719,315,0.261783,,,0.1318775,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,1,cached_tight,320,,0,0.1873585,315,0.186707,,,0.1468825,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,1,clarabel_command,320,315,320,0.244651,315,0.244655,0.0568145,0.022987,0.1399815,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,1,clarabel_epigraph,320,,0,0.1469015,315,0.146895,0.057032,0.022847,0.1408635,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,1,old_command,320,315,650,0.290255,315,0.290061,,,0.1594935,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,1,old_tight,320,,0,0.1841805,315,0.183615,,,0.143903,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,1,relative_command,320,315,640,0.2617505,315,0.261784,,,0.132144,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
ur5e,regular_first_subproblems,1,relative_progress,320,,0,0.118968,315,0.11899,,,0.0793385,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
